,genre_ids
585,"['Thriller', 'Crime', 'TV Movie']"
586,"['Horror', 'Mystery', 'Thriller']"
587,"['Drama', 'Documentary', 'History']"
588,"['Romance', 'Drama']"
589,"['Adventure', 'Drama', 'Family', 'Animation']"
590,"['Horror', 'Thriller']"
591,"['Action', 'Adventure', 'Science Fiction']"
592,"['Mystery', 'Thriller', 'Crime', 'Drama']"
593,"['Horror', 'Thriller']"
594,"['Romance', 'Fantasy', 'Animation']"
595,['Comedy']
596,"['Comedy', 'Crime', 'Action']"
597,"['Action', 'Science Fiction', 'Horror']"
598,"['Action', 'Crime', 'Drama', 'Thriller']"
599,"['Thriller', 'Crime']"
600,"['Fantasy', 'Adventure']"
601,"['Drama', 'Romance', 'Fantasy']"
602,"['Action', 'Adventure', 'Animation', 'Family']"
603,['Thriller']
604,"['Action', 'Adventure', 'Science Fiction']"
605,"['Adventure', 'Action', 'Science Fiction']"
606,"['Drama', 'Romance']"
607,"['Action', 'Adventure', 'Animation', 'Family']"
608,"['Fantasy', 'Animation', 'Family']"
609,['Horror']
610,"['Crime', 'Drama', 'Thriller']"
611,"['Family', 'Adventure', 'Animation', 'Drama']"
612,"['Action', 'Thriller']"
613,"['Animation', 'Comedy', 'Family', 'Fantasy']"
614,"['Action', 'Drama']"
615,"['Action', 'Adventure', 'Science Fiction']"
616,"['Drama', 'Action']"
617,"['Thriller', 'Drama']"
618,"['Action', 'Science Fiction', 'Horror']"
619,"['Action', 'Drama', 'Horror', 'Science Fiction', 'Thriller']"
620,"['Comedy', 'Fantasy']"
621,"['Action', 'Animation']"
622,"['Science Fiction', 'Adventure', 'Action']"
623,"['Horror', 'Thriller']"
624,"['Action', 'Thriller', 'Crime']"
625,"['Animation', 'Comedy', 'TV Movie']"
626,"['Action', 'Adventure', 'Animation', 'Family']"
627,"['Adventure', 'Action', 'Drama', 'Thriller']"
628,"['Adventure', 'Fantasy', 'Drama', 'Romance']"
629,"['Animation', 'Action', 'Science Fiction', 'Drama', 'Fantasy']"
